,content,sentiment
35,"mantap banget, kukira bisa bikin sim online, ternyata layanan nya masih dalam perkembangan semua (kebanyakan). terimakasih pak polri",1
36,Sim di terima dengan baik dan cepat. Males di test online nya doank.tpi itung2 asah otak lagi.thanks SINAR,1
37,"saya suka adanya aplikasi digital Korlantas, perpanjang SIM tidak perlu antri lagi sekarang... TERIMAKASIH 🥰👍",1
38,Semoga perpanjang sim berhasil masih dalam 40% belom di proses.,1
39,Sangat bermanfaat di tengah kesibukan saya untuk perpanjangan sim cepat tepat dan aman.,1
40,Alhamdulillah berhasil perpanjang SIM online. Terkendala upload foto dr hp. Tp kalo pakai kamera langsung bisa.,1
41,Rekomendasi bgt buat yg mau perpanjangan SIM scara online dan gak ribet,1
42,Pertama x perpanjang SIM ternyata mudah cepat dan g pake antri 👍👍,1
43,Ga bisa bikin sim baru Padahal di iklan ktanya bisa,0
44,"Mau bikin sim pas mau bikin ko muncul layanan belum tersedia katanya maaf, layanan yang anda pilih sedang dalam proses pengambangan. Mohon penjelasannya kak? Aku kasih bintang satu dulu deh.",0
45,"Awalnya saya beri bintang 1 karena sangat amat lemot sewaktu tes psikologi, padahal jaringan bagus. Sekarang saya rubah jadi bintang 5 sebagai dukungan saya untuk POLRI agar lebih bersemangat untuk melayani masyarakat. Saya sudah merasakan manfaat dari adanya pelayanan Digital Korlantas POLRI. Saya proses awal perpanjangan SIM tgl 18 Agustus, dan tanggal 24 Agustus SIM baru sudah saya terima. Terimakasih, semoga semakin bagus untuk kedepannya.",1
46,"Bikin SIM tak perlu lagi antri, tinggal duduk dirumah, 3 hari lgs nyampe dirumah",1
47,"Terimakasih DIGITAL KORLANTAS POLRI,, perpanjang SIM jadi tidak telat dan bisa dari rumah juga dikirim kerumah,,semoga pelayanan tambah maju dan semakin asyik,, trims",1
48,"Aplikasi memudahkan tapi terkendala di e-rikkes yg saat login muncul ket ""No UUID"" berkali2 sehingga tidak bisa melanjutkan cekkes dan tahapan lainnya untuk perpanjangan di sim di app korlantas ini. Mohon perbaikan/solusinya",0
49,"Perdana menggunakan aplikasi ini. Benar-benar mempermudah proses perpanjangan SIM tanpa harus datang ke SATPAS. Prosesnya juga cepat, hanya 3 hari. Sukses terus untuk Pengembang & POLRI, khususnya SATPAS Polrestabes Medan. Sangat puas dengan pelayanan digital seperti ini, saya sangat support 👍🏻",1
50,Terus Dikembangkan Agar Lebih Mempermudah Masyarakat Untuk Membuat/Memperpanjang SIM Secara Online Dan Mengurangi Pungli Terhadap Oknum² Nakal..,1
51,"Kapan update sim baru bisa terlaksana, makin ribet kalau ke satpas",0
52,Udah seminggu tapi belum ada kelanjutan proses perpanjangan SIM nya padahal sudah saya bayar biayanya Ini bener aplikasi polri bukan sih?,0
53,"Masih belom bisa dipake buat SIM baru ya aplikasinya ,masih pengembangan terus😥",0
54,Mantap jaya...sangat terbantu sekali sama aplikasi ini. Sekali daftar uplod langsung lolos..ga ada ngulang2..Perpanjang sim jdi gampang banget.. Terimakasih,1
55,Perpanjangan sim online mudah efisien menghemat waktu,1
56,Mau perpanjangan sim tapi sewaktu mau masuk ke galery tidak bisa ke halaman galery. Mohon diperbaiki systemnya. Terima kasih.,0
57,Sangat2 membantu utk sistem online ini dalam mengurus perpanjangan sim online dana yg dikeluarkan lebih murah dari pengurusan sim off line tdk perlu antri . Bravo buat polri .,1
58,Aplikasinya cman untuk perpanjangan Sim A dan Sim C sj..blum ad pilihan untuk perpanjangan SIM B1.,0
59,Mantap memudahkan pengurusan perpanjangan SIM buat para perantau seperti saya,1
60,"Ternyata ini adalah aplikasi hanya bisa dipakai untuk perpanjangan sim, sementara untuk buat sim baru, fiturnya masih belum bisa digunakan. Kecewa",0
61,Daftar sim online belum bisa!,0
62,"Untuk perpanjangan SIM online bisa berjalan lancar dengan 7 hari jam kerja, asalkan paham dan mengerti instruksi dari aplikasinya. Untuk pembuatan SIM baru tolong segera di adakan",1
63,"Ada apa dengan aplikasi digital korlantas polri, saya udah lakukan step by step perpanjangan sim online cuman di akhir terkendala ga bisa melakukan pembayaran dengan notice ""batas waktu anda berakhir"" dan ""coba beberapa saat lagi"". Sya udah coba hubungi nmer digital korlantas dan kirim pesan ke email, ga ada tanggapan, malah dibales sama sistem yg menganjurkan sya menghubungi di jam operasional, padahal saya menghubungi di jam operasional. Gimana ini solusinya?",0
64,Harus Jeli dan mengunggah data terutama foto. Karena bisa ditolak kalo tidak sesuai dan tanpa pemberitahuan dan harus mengajukan sim baru. Semoga ke depan semakin bagus aplikasinya seperti perbankan. Ketika saya konfirm foto susulan tidak ditanggapi padahal semua tes dan syarat sudah dipenuhi dan diminta membuat SIM Baru. Kalo memang tidak sesuai foto diawal harusnya tidak ada centang hijau telah sesuai seperti di perbankan. Setelah approve semua malah dicancel gara2 foto g sesuai. Sangat kecewa,0
65,"mantap baru pertama x buat perpanjang sim online ternyata pelayanan nya super cepat ,terima kasih korlantas polri ,sukses selalu",1
66,"Saya mau perpanjang SIM C tapi ketika upload persyaratan seperti KTP dll , tiba-tiba langsung keluar dr aplikasi dgn sendirinya, begitu terus berulang2 padahal resolusi udh sesuai yg di minta. Saya instal ulang malah lebih parah ketika di persyaratan utk perpanjang kemudian klik kata ""lanjutkan"" malah pemberitahuannya ""terjadi kesalahan"", begitu terus berulang- ulang.",0
67,"Setelah upload berhasil dan sudah berhasil bayar, mau cek kemajuan proses SIM malah gak bisa masuk aplikasi, terjadi kesalahan terus, padahal jaringan internet lancar. Tolong diperbaiki.",0
68,mantap gak perlu cari2 lagi tempat perpanjang sim lagi,1
69,"Menu di aplikasi, contoh pembuatan sim Baru tidak bisa di gunakan...",0
70,Bagus cepet juga proses perpanjangan sim cuma harus download2 lg apk lain utk test kesehatan dll lebih bagus nya dlm 1 apk ini ajaa,1
71,"Alhamdulillah berkat apk Digital Korlantas , perpanjangan sim menjadi mudah, terima kasih Pak POLRI",1
72,Lama juga ya proses nya. Perpanjang sim C doank.. Pdhl sudh bayar.. Apakah hari ini libur 30 juny 2023,0
73,Selamat siang mohon dibantu sya pengajuan perpanjangan SIM dari tgl 27 Juli sampai sekarang masih proses saja dan saat sya buka aplikasi cek status hanya loading saja dan sya coba uninstal dan instal kembali malah saya tidak bisa login mohon solusinya terima kasih.,0
74,Saya bkin sim lewat sini mudah dan gak ribet sama sekali.. sim uda diterima dengan baik dan hasilnya bagus..,1
75,"Kita mau taat pada negara dan POLRI dengan cara perpanjang sim, tapi kenapa dipersulit cuma karena foto. Perpanjang sim ditolak dengan alasan foto diedit mana sudah terlanjur bayar akhirnya kepotong admin dan biaya transfer. Harusnya kalo gak diterima fotonya dari awal diverifikasi sebelum bayar. Mau taat aja dipersulit.Merasa dirugikan🤕",0
76,Keren No Antri No repot.....Beres SIM terkirim sampai rumah,1
77,Ternyata belum bisa untuk bikin SIM yang baru,0
78,"Untuk pembuatan sim c baru, masih belum bisa... Tetep aja harus k polres",0
79,luarbiasa.. cepat sekali..hanya 4hari dri daftar sampai sim diterima.tanpa harus keluar rumah.tanpa ribet..uplause buat POLRI,1
80,Perpanjang SIM jadi sangat Mudah.. Saya yang tinggal di Pulau jadi sangat terbantu... Terimakasih App KORLANTAS,1
81,Mantep sangat membantu Suaranya supaya bisa bikin SIM baru dan perpanjangan STNK,1
82,Buat sim c baru belum bisa,0
83,Mau bikin sim baru kenapa masih ada sistem ini sedang dalam pengembangan yaa. Terus kenapa aplikasi ini dibuat dahulu kalau belum bisa di akses,0
84,Enak. Tinggal tunggu dirumah sim datang di antar,1
85,"Masih kurang puas sama aplikasi ini, susah banget verifikasi ktp pas waktu foto wajah, padahal pencahayaan sudah memadai, mohon segera mungkin diperbaiki bug nya, niatnya pengen perpanjang sim online malah makin susah",0
86,Kenapa saat memperpanjangan tahunnya hanya mentok di tahun 2023 ... Jadi kami bingung untuk menggunakan sehingga kami isi sesuai tahun yg disediakan dstu.... Mohon diperbaruai semua dalam aplikasi. 1. Jadwal tes kesehatan untuk kawasan kota jambi hanya buka senin-jumat sedang didalam aplikasi senin-sabtu. 2. Tahun perpanjang hanya mentok ditahun 2023 sehingga kami tidak punya pilihan lain jika SIM memang Habis ditahun tersebut.,0
87,"Walaupun agak lama jadi SIM nya, tapi baguslah sim dikirim sampai rumah dengan mulus.",1
88,Terima kasih Korlantas POLRI...Perpanjangan SIM begitu dimudahkan adanya sistem ini walaupun saya mengajukannya di detik terakhir H-1...cepat dan terarah...sukses selalu,1
89,Bintang 2 Dulu ya .kalau udh berhsil sya tambahin buntangnya.sya udh perpnjan SIM lwat aplikasi onlen udh di byar udh 4 hari ternyata blm jadi juga ktnya 2 hari sampai tga hari udh jdi Udi Anyer terus gimna kelanjutanya,0
90,"Proses pembuatan sim nya cepat, hanya pengirimannya lama, kirim dari bogor ke bogor sudah 4 hari belum sampai juga segitu pengriman express.. Di lacak paketnya malah dikirim ke jakarta pusat.. Ampun dah.. Semoga kurir pengantarannya bisa di tambah jgn mengandalkan pos indonesia saja..",0
91,Mau bikin sim baru tapi sampai saat ini belum bisa. Saya pikir sangat membantu ternyata..... 😭,0
92,Semoga selalu ditingkatkan kembali untuk pelayanan sim online nya,1
93,"Gimana si sim dibatalkan karena ttd dan foto, sudah di perbaiki sesuai permintaan, malah di batalkan, udah gitu pengembalian dana dipotong 16500, aplikasi kok malah mempersulit yg katanya mempermudah",0
94,"Ini gimana ya kendala di masalah pilih jenis pengiriman selalu gagal mohon di perbaiki,udah bayar ini itu masak harus perpanjang sim manual.",0
95,"Saya sudah download agar bisa membuat SIM sesuai iklan yang ada dibranda, tapi setela di download mau bikin SIM kok tidak bisa, Mohon bantuannya agar betul2 apk ini bisa berjalan sesuai iklan yang ada dibranda..kalo cuma untuk cek SIM saya belum punya SIM..jadi mohon agar menu pembuatan SIM baru bisa di fungsikan agar masyarakat pun bisa lebih muda untuk membuat SIM sesuai wilayah masing2 dan untungnya kan enak petugas kapolri tidak repot2 lagi mendata ulang dan pendapatan pajak makin byak",1
96,Mengurus perpanjangan SIM jadi lebih mudah murah cepat dan efisien.... Mantab maju terus indonesiaku,1
97,"Digitalisasi sim gak pernah bisa, repot aplikasi nya",0
98,"Iklannya bisa daftar sim online,, tapi ternyata belum bisa... Cuma bisa untuk oerpanjangan doang..",0
99,Smoga lebih cepat lagi untuk pengembangan aplikasinya supaya bisa bikin sim baru dan perpanjang stnk,1
100,Saya sudah coba untuk melakukan perpanjangan SIM A dengan aplikasi ini dan berhasil. Namun saat akan digitalisasi Kartu SIM baru selalu gagal dan harus menghubungi SATPAS.,1
101,Terima kasih digital korlantas...Perpanjang sim jd mudah dan cepat. Tdk ribet hrus dtg ke kantor tp bs kapan aja dan drmana saja.,1
102,"Ini mau daftar SIM nya gimana??kok kayak ga bisa2,,,semua sudah terverikasi,tapi menu ga ada yg bisa di gunakan",1
103,"tidak bisa buat SIM c baru,pemberitahuannya "" layanan anda belum tersedia,sedang dalam proses pengembangan """,0
104,"mau daftarin sim saja dr kemarin gga bisa² suruh ke satpas terdekat buat dpt info lbh lanjut ,, jd buat apa ada aplikasi ini kalau kudu msh ke satpas juga 😔😔😔",0
105,"Vetifikasi KTP, SIM dll....lama sekali ga jadi2, payaaahhhhhh",0
106,Bagus... Dengan adanya aplikasi ini saya dapat memperpanjang SIM saya dengan Muda,1
107,"Daftar sejak tgl 10 Desember, sampai sekarang tgl 16 Des masih dalam tahap ""diproses"" 50%.. masa berlaku sim sampai tgl 18 Des.. apa memang lama prosesnya?",0
108,"Jadi ribet ga kaya pertama buat sim A, daftar dapat barcod di print tinggal dtg kelar. Ini daftar isi data cek rikkes cek psikolog. Mau di mana ceknya org daftar nya lagi kerja",0
109,"Sangat membantu, terima kasih korlantas polri... Semoga ada pembuatan sim secara digital/virtual kedepannya...",1
110,"Tolong di benahi pelayanannya dong saya sudah tiga hari proses,,sudah bayar sudah lolos tes tapi kok sim saya blum di proses,,dan hari ini hari terakhir masa aktif sim saya",0
111,"Keterangan di aplikasi di proges sampai 50%, tapi mohon maaf. Udh 11 hari tidak ada kelanjutan dalam perpanjangan SIM ONLINE. Tolong di tindaklanjuti. Perpanjangan dri 21-10-2022 sampai 1-11-2022 belum ada keterangan lebih lanjut.",0
112,"terimakasih digital Korlantas... awalnya bingung sih ini kok dari Mei sampe Agustus belum dikirim, mau ngadu ke siapa soalnya ngga ada fitur call center. sempat ketemu polisi terus tanya tanya tentang perpanjangan SIM online. kata polisinya ditunggu aja .. Alhamdulillah akhirnya sampai 😍😍😍 semoga pelayanan meningkat, seperti fitur fitur lain, layanan aduan, pelacakan proses perpanjangan SIM #saran untuk yang baru pake. perpanjangan minimal 3 bulan sebelum masa berlaku SIM habis",1
113,"Praktis dan Mudah, tapi banyak yang harus diperbaiki dari sisi aplikasinya. Overall cukup memuaskan perpanjang sim A dan C gak lebih dari 300rb! POLRI KEREN! SAMBO ENGGAK!",1
114,seandainya bisa buay sim baru jauh lebih baik,0
115,"HARUS DIPERBAIKI, PERPANJANG SIM ERRROR TERUSS. MERUGIKAN",0
116,Dulu perpanjangan sim 1kali bisa..sekarang di tolak melulu sama kantor polresnya pdhal tinggal cetak aja..rugi biaya tf dll ni gmna pak?...kyak gmna gk permudah tmbh sulit,0
117,Terimakasih pak polisi dengan adanya aplikasi ini saya tidak perlu lagi jauh jauh ke kantor polisi ngurus perpanjangan sim cukup dirumah saja,1
118,Bagus sangat membantu ngurus perpanjangan sim gak harus ribet,1
119,"Belum siap dengan era digital, buat apa bikin aplikasi kalau untuk uploud data sim masih harus datang ke satpas",0
120,"Seharusnya sebelum membuat dan mempublikasikan aplikasi yang di tujukan demi kemudahan masyarakat, ada baiknya di uji coba dulu dengan sedemikian rupa agar aplikasi bisa benar2 di pahami dan masyarakat juga merasa di permudah. bukan sebaliknya. dari mulai verifikasi foto wajah juga sudah sangat susah gagal terus jadinya ga bisa digunakan. lalu memasukan no SIM walaupun ada beberapa pilihan dari mulai ketik no sim,NFC dan Barcode tetap saja tidak bisa. coba dong sekelas POLRI bisa lebih maksimal.",0
121,"Untuk perpanjang sim online cukup mudah, namun untuk layanan yg lainnya masih beberapa blm tersedia",1
122,Pengajuan sim ditolak karena background tidak sesuai. terus sama aja ngurus offline.buang2 waktu saja. payah,0
123,Mantap bisa perpanjng sim online dan cepat jga jadinya,1
124,"Sok sok an bikin aplikasi sim onlen, pas mau buka menu utk sim baru maalah bilang layanan belum tersedia. Polisi cuma bisa pencitraan.",0
125,"Alhamdulillah proses lancar dan cepat, wlpun sempat ada kendala dalam pemilihan satpas,krn sy di aceh ,satpas polda aceh tidak tersedia jadi pilih polda sumut, Polrestabes Medan proses pembuatan sim cepat hanya 2 hr kerja langsung dikirim,proses online sangat efektif ,tidak perlu antri2 dan menimalisir pungli, sukses terus POLRI",1
126,Susah buat update SIM yang baru selesai di perpanjang.,0
127,Terima kasih atas pelayanan perpanjangan sim online yg baik,1
128,"SIM saya kok belum kunjung dikirim ya , udah hampir 2 Minggu",0
129,Akhir nya setelah 1 bulan jadi juga sim nya. Sukses terus korlantas POLRI .. Semga aplikasi nya terus d kembangan biar kedepannya bisa d nikmati masyarakat secara luas,1
130,Sangat dipermudah dengan adanya layanan perpanjangan SIM onlinenya. Harapanny kedepanny semua fitur yang ada di aplikasi ini bisa di akses semuanya.. terima kasih... SIM nya beneran diantar sampe rumah,1
131,"Bintang 1 dulu lah, memang bener komentar dari yang lain. Pemrosesan sudah berjalan sudah hampir 1 minggu proges masih aja 40%. Niatnya biar praktis ga jauh jauh memperpanjang SIM MALAH NAMBAH BUANG BUANG DUIT. SIM jadi kagak keluar duit iya. Paling ngga jika ada keterlambatan dalam pembuatan kasih lah notifikasi. Jdi user tau. Keburu hangus masa aktif SIM ku ini.",0
132,"Aplikasi yang sangat bagus, bantu banget dalam perpanjang sim C. Input data hari minggu, senin di proses dan dikirim. Sekarang hari ini hari selasa udah sampe ke tangan saya. Saya pilih polrestabes bandung, makasih banget polrestabes bandung. UI aplikasinya udah bagus simple dan mudah dimengerti. Tapi kemarin ada masalah dalam memilih pengiriman. Karena sering not found pas pilih kurir pengiriman. Semoga kedepannya bisa ditingkatkan lagi pas pemilihan kurir pengiriman.",1
133,"Terimakasih SIM C sudah saya terima, wlaupun proses perpanjangan lumayan lama...tapi ok dah, smoga tambah lagi fitur2 aplikasinya",1
134,"Sdh saya coba perpanjangan SIM, hanya tunggu 2-3 SIM sdh nyampe. Bintang 17 buat digital korlantas. Ditunggu pelayanan2 lainya.",1
135,Proses mudah & lancar...mulai bikin akun smp proses perpanjangan SIM A dan SIM sdh diterima dalam 5 hari... Sempat ada kendala ditolak krn upload foto yg tdk sesuai dgn resolusi yg diminta...jd hrs dirubah dl sesuai dgn 480x640pxl Semoga kedepannya bisa ditingkatkan lg fasilitasnya & untuk tes kesehatannya sdh bisa online jg tanpa hrs dtg keSATPAS kesehatan...🙏🙏🙏,1
